Filename,Label,LabelConfidence
2015-09-14_15-23-48_UTC.jpg,NoYerb,1
2015-07-10_19-08-16_UTC.jpg,NoYerb,1
2017-01-29_18-35-42_UTC.jpg,NoYerb,1
2014-02-04_21-29-29_UTC.jpg,NoYerb,1
2015-04-14_23-23-15_UTC.jpg,NoYerb,1
2015-02-22_20-09-28_UTC.jpg,NoYerb,1
2016-02-18_04-07-04_UTC.jpg,NoYerb,1
2016-04-06_15-56-24_UTC.jpg,NoYerb,1
2021-08-26_16-00-24_UTC_5.jpg,NoYerb,1
2022-05-21_17-11-15_UTC_1.jpg,"Cans/Slim/GrapefruitGinger,Cans/Slim/Cranpom","1,1"
2018-10-27_16-30-07_UTC.jpg,NoYerb,1
2017-07-25_17-34-08_UTC_2.jpg,NoYerb,1
2020-03-31_18-39-42_UTC.jpg,Cans/Revelberry,1
2018-01-05_22-55-12_UTC.jpg,Bottles/Passion,1
2018-07-10_16-33-45_UTC_1.jpg,NoYerb,1
2018-05-13_16-26-14_UTC.jpg,NoYerb,1
2019-05-15_16-44-06_UTC.jpg,NoYerb,1
2014-03-19_17-49-50_UTC.jpg,NoYerb,1
2019-12-01_19-44-23_UTC.jpg,"Cans/Bluephoria,Cans/Lemon","1,1"
2018-11-27_16-04-32_UTC.jpg,NoYerb,1
2016-06-22_00-15-27_UTC.jpg,NoYerb,1
2018-12-23_20-22-26_UTC_4.jpg,NoYerb,1
2013-07-04_01-35-16_UTC.jpg,NoYerb,1
2021-09-21_16-29-06_UTC_2.jpg,Bottles/Original,1
2012-10-20_23-07-06_UTC.jpg,NoYerb,1
2021-04-29_16-10-11_UTC.jpg,Cans/Other,1
2019-06-14_21-06-36_UTC_7.jpg,NoYerb,1
2017-12-26_22-32-34_UTC_1.jpg,NoYerb,1
2020-05-09_18-00-21_UTC.jpg,Cans/Slim/GrapefruitGinger,1
2015-06-10_09-32-59_UTC.jpg,Cans/Other,1
2020-03-07_20-21-11_UTC_8.jpg,Cans/Enlightenmint,1
2018-03-14_16-30-39_UTC_6.jpg,NoYerb,1
2014-12-15_19-31-35_UTC.jpg,NoYerb,1
2018-09-16_17-00-32_UTC.jpg,NoYerb,1
2016-02-02_00-32-02_UTC.jpg,"Cans/Enlightenmint,Cans/Lemon,Cans/Revelberry","1,1,1"
2018-01-15_21-04-07_UTC.jpg,Bottles/Passion,1
2022-06-20_16-06-24_UTC.jpg,Cans/Slim/Gold,1
2022-03-06_16-05-19_UTC.jpg,NoYerb,1
2018-04-22_15-01-25_UTC_8.jpg,NoYerb,1
2021-12-31_22-18-35_UTC_2.jpg,Cans/Other,1
2021-05-12_15-58-56_UTC_3.jpg,Cans/Lemon,1
2016-12-30_20-00-08_UTC.jpg,"Bottles/Raspberry,Cans/Slim/Cranpom","1,1"
2018-06-15_22-02-30_UTC.jpg,Cans/Other,1
2021-07-14_16-22-38_UTC_3.jpg,NoYerb,1
2020-02-12_19-54-34_UTC_5.jpg,NoYerb,1
2015-01-01_00-03-54_UTC.jpg,NoYerb,1
2018-05-30_17-01-55_UTC.jpg,Cans/Slim/Cranpom,1
2021-06-05_14-58-18_UTC.jpg,NoYerb,1
2020-01-14_19-07-51_UTC.jpg,NoYerb,1
2013-04-06_01-29-18_UTC.jpg,Cans/Lemon,1
2015-08-04_16-33-16_UTC.jpg,NoYerb,1
2014-01-17_22-05-33_UTC.jpg,NoYerb,1
2018-05-19_23-06-36_UTC_3.jpg,NoYerb,1
2014-10-22_20-58-44_UTC.jpg,NoYerb,1
2015-05-22_14-34-04_UTC.jpg,NoYerb,1
2017-07-17_16-07-10_UTC_2.jpg,NoYerb,1
2015-05-07_17-11-05_UTC.jpg,NoYerb,1
2017-01-20_17-59-19_UTC.jpg,NoYerb,1
